Date,Stock
2012-03-06,28034.91406
2012-03-07,27994.07617
2012-03-08,28607.08789
2012-03-09,28402.7207
2012-03-12,28034.91406
2012-03-13,28402.7207
2012-03-14,28729.6875
2012-03-15,28198.35352
2012-03-16,28443.55664
2012-03-19,28443.55664
2012-03-20,28280.11914
2012-03-21,27953.14844
2012-03-22,27626.26953
2012-03-23,27667.10938
2012-03-26,27462.74023
2012-03-27,27462.74023
2012-03-28,27258.46484
2012-03-29,26931.49414
2012-03-30,26604.52539
2012-04-02,27217.53711
2012-04-03,27299.29883
2012-04-04,26645.45313
2012-04-05,25991.51563
2012-04-06,26073.28125
2012-04-09,25296.83398
2012-04-10,25296.83398
2012-04-12,25296.83398
2012-04-13,26032.44336
2012-04-16,26073.28125
2012-04-17,26073.28125
2012-04-18,25950.67969
2012-04-19,25419.43359
2012-04-20,25337.66992
2012-04-23,25378.50977
2012-04-24,25051.62891
2012-04-25,24765.49805
2012-04-26,24234.25586
2012-04-27,24397.68945
2012-04-30,23703.00977
2012-05-02,24479.45508
2012-05-03,24888.09766
2012-05-04,24969.86523
2012-05-07,24438.62109
2012-05-08,24356.85547
2012-05-09,23989.04883
2012-05-10,23743.8457
2012-05-11,23662.08203
2012-05-14,23171.67188
2012-05-15,22476.98828
2012-05-16,22231.78516
2012-05-17,22395.22266
2012-05-18,21741.37695
2012-05-21,21577.9375
2012-05-22,22517.82422
2012-05-23,22231.78516
2012-05-24,23130.83594
2012-05-25,22926.46875
2012-05-29,23294.27734
2012-05-30,23212.59961
2012-05-31,23008.23438
2012-06-01,23130.83594
2012-06-04,21945.74609
2012-06-05,22027.41406
2012-06-07,22190.94727
2012-06-08,22190.94727
2012-06-11,22844.79492
2012-06-12,22722.19336
2012-06-13,23090
2012-06-14,23539.48047
2012-06-15,23703.00977
2012-06-18,23743.8457
2012-06-19,23784.68164
2012-06-20,23825.60938
2012-06-21,23907.28516
2012-06-22,23580.4043
2012-06-25,23253.4375
2012-06-26,22967.39648
2012-06-27,22844.79492
2012-06-28,22436.1543
2012-06-29,23008.23438
2012-07-02,23376.03906
2012-07-03,23784.68164
2012-07-04,23703.00977
2012-07-05,23743.8457
2012-07-06,23376.03906
2012-07-09,23049.07227
2012-07-10,22844.79492
2012-07-11,22640.42383
2012-07-12,22150.01953
