Date,High,Low,Open,Volume,Close
2010-06-21,34623.5,34176.19922,34399.89844,366810,30426.47656
2010-06-22,34176.19922,33639.39844,34176.19922,466167,29831.43555
2010-06-23,34086.69922,33147.30078,33236.80078,322752,29871.07813
2010-06-24,34713,33549.89844,33594.69922,495474,30664.5
2010-06-25,34578.80078,34086.69922,34131.5,600574,30347.10938
2010-06-28,35070.89844,34086.69922,34444.60156,332407,30981.87891
2010-06-29,35115.60156,33236.80078,35070.89844,496594,29474.41016
2010-06-30,33952.5,32252.69922,32521.09961,479734,29593.41602
2010-07-01,34131.5,32655.30078,33013.10156,427767,30148.82227
2010-07-02,35428.69922,34086.69922,34355.10156,950613,30783.50586
2010-07-05,35070.89844,33594.69922,35026.10156,464558,29910.80273
2010-07-06,33594.69922,32565.80078,33594.69922,457662,29474.41016
2010-07-07,33818.30078,32834.19922,33371,276652,29672.78711
2010-07-08,34265.69922,33818.30078,34086.69922,316109,29990.08398
2010-07-09,34936.69922,33639.39844,34176.19922,565699,30942.15234
2010-07-12,35473.5,34355.10156,35160.30078,469063,30902.51172
2010-07-13,35473.5,34444.60156,34802.5,660765,31418.19141
2010-07-14,36815.5,36189.19922,36278.69922,1090976,32251.24805
2010-07-15,36949.69922,35965.5,36502.30078,652948,32211.60742
2010-07-16,36591.80078,35831.30078,36323.39844,488622,31814.94727
2010-07-19,36144.5,35115.60156,35249.80078,340699,31854.58203
2010-07-20,36144.5,35607.69922,36144.5,298792,31735.58008
2010-07-21,36278.69922,35920.80078,36010.30078,388663,32052.95508
2010-07-22,36412.89844,35249.80078,36233.89844,496640,31656.20508
2010-07-23,37710.10156,36099.69922,36278.69922,1434376,33163.67188
2010-07-26,38291.69922,37173.30078,37889.10156,819546,33203.32031
2010-07-27,37665.39844,36591.80078,37575.89844,574568,32568.63672
2010-07-28,36949.69922,36233.89844,36681.30078,402734,32370.26172
2010-07-29,37262.80078,36144.5,36502.30078,638182,32171.9668
2010-07-30,36502.30078,35607.69922,36412.89844,453410,31814.94727
2010-08-02,36815.5,35965.5,35965.5,435305,32608.27539
2010-08-03,37486.5,36547.10156,37218.10156,610318,33084.30469
2010-08-04,37978.5,36949.69922,37754.89844,882581,33044.67188
2010-08-05,39052.10156,37307.5,37575.89844,2273459,34552.13672
2010-08-06,39946.80078,38425.89844,39007.39844,1337619,35345.47266
2010-08-09,39902.10156,39275.80078,39723.10156,709617,35305.83594
2010-08-10,40304.69922,39320.5,39991.5,844142,35623.22656
2010-08-11,39902.10156,38381.10156,39857.30078,839370,34353.76172
2010-08-12,39141.60156,37665.39844,37844.30078,784610,33877.73047
2010-08-13,39141.60156,38425.89844,38694.30078,581395,34552.13672
2010-08-16,39633.69922,38157.5,38828.5,553092,35028.17188
2010-08-17,40259.89844,39141.60156,39544.19922,903068,35543.85156
2010-08-18,40975.60156,39946.80078,40349.39844,997395,35424.84375
2010-08-19,40528.30078,39231.10156,40215.19922,710395,34948.80859
2010-08-20,40349.39844,38694.30078,39052.10156,750383,35742.22266
2010-08-23,42049.19922,40394.10156,40707.19922,1699232,37090.96484
2010-08-24,42317.60156,41288.80078,41780.80078,1120586,36614.92578
2010-08-25,41378.19922,39857.30078,40886.19922,847549,35424.84375
2010-08-26,40394.10156,38739,40125.69922,921475,34552.13672
2010-08-27,39857.30078,38291.69922,38560.10156,848688,35305.83594
2010-08-30,40528.30078,39678.39844,40259.89844,497434,35504.125
2010-08-31,40707.19922,38917.89844,39588.89844,996176,35345.47266
2010-09-01,41646.60156,40483.60156,40573.10156,1484387,36892.58594
2010-09-02,42138.69922,41333.5,41780.80078,1018654,36654.57031
2010-09-03,43122.80078,41512.39844,41557.19922,1711581,37447.99219
2010-09-06,41065.10156,39588.89844,40259.89844,2378061,36218.17578
2010-09-07,41288.80078,40259.89844,40707.19922,809949,35940.51953
2010-09-08,40483.60156,39365.30078,40438.89844,853624,34988.44141
2010-09-09,40528.30078,39767.89844,39812.60156,669513,35900.87891
2010-09-10,41959.80078,40707.19922,40886.19922,786094,36733.94141
2010-09-13,41244.10156,38962.69922,41244.10156,2496979,34552.13672
2010-09-14,39633.69922,38470.60156,39365.30078,1044757,34314.12109
2010-09-15,39812.60156,39007.39844,39096.89844,629840,34988.44141
2010-09-16,40662.5,38246.89844,39902.10156,2061751,34274.39453
2010-09-17,38560.10156,37218.10156,38291.69922,1365185,33917.36328
2010-09-20,38023.30078,37575.89844,37754.89844,749710,33639.71094
2010-09-24,38917.89844,38023.30078,38246.89844,717825,34512.41406
2010-09-27,40349.39844,39096.89844,39186.30078,1146179,35583.48828
2010-09-28,40573.10156,39946.80078,40259.89844,730392,35583.48828
2010-09-29,40215.19922,39186.30078,40125.69922,1195629,35028.17188
2010-09-30,39812.60156,39275.80078,39365.30078,508198,34909.16797
2010-10-01,41557.19922,39588.89844,39588.89844,1632631,36813.21875
2010-10-04,42451.80078,40707.19922,41691.39844,1159040,36495.92188
2010-10-05,41423,40528.30078,40841.39844,565069,36337.18359
2010-10-06,41915,40036.19922,41646.60156,1193943,36138.89453
2010-10-07,41378.19922,40528.30078,41020.39844,600361,36495.92188
2010-10-08,42675.5,40796.69922,41288.80078,1224797,37686.00391
